container	identifier	appearance	component_wire	construction	gauge	insulation material	material	od	resistance	temperature rating	voltage rating	wire number
conductors	white	{'base_color':'white','outline_color':'black'}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	1
conductors	white/blue	{'base_color':'white','outline_color':'black','parallelstripe':['blue']}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	2
conductors	white/orange	{'base_color':'white','outline_color':'black','parallelstripe':['orange']}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	3
conductors	white/green	{'base_color':'white','outline_color':'black','parallelstripe':['green']}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	4
conductors	white/red	{'base_color':'white','outline_color':'black','parallelstripe':['red']}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	5
conductors	white/black	{'base_color':'white','outline_color':'black','parallelstripe':['black']}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	6
conductors	white/yellow	{'base_color':'white','outline_color':'black','parallelstripe':['yellow']}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	7
conductors	white/violet	{'base_color':'white','outline_color':'black','parallelstripe':['violet']}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	8
conductors	white/gray	{'base_color':'white','outline_color':'black','parallelstripe':['gray']}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	9
conductors	white/brown	{'base_color':'white','outline_color':'black','parallelstripe':['brown']}	M22759/11-18	19x30	18AWG	PTFE	silver-coated copper	0.068in	5.79ohm/1000ft	200C	600V	10
